Customer ID,Count_x,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Satisfaction Score,Count_y,Country,State,City,Zip Code,Lat Long,Latitude,Longitude,Count,Quarter,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,ID,Population
8404-VLQFB,1.0,Female,59.0,No,No,No,,0.0,3.0,1.0,United States,California,San Diego,92122.0,"32.85723, -117.209782",,,1.0,Q3,,0.0,,Offer E,Yes,36.63,No,No,None,0.0,No,No,,No,No,No,No,No,Month-to-Month,Yes,Credit Card,19.9,19.9,0.0,,,56.53,373.0,34902.0
0376-YMCJC,1.0,Female,24.0,Yes,,Yes,Yes,1.0,,1.0,United States,,San Diego,92122.0,"32.85723, -117.209774",32.85723,-117.209774,1.0,Q3,Yes,1.0,,None,Yes,12.85,No,No,None,,No,No,No,No,No,No,No,No,Two Year,,Credit Card,19.7,599.25,49.79,,385.5,934.96,373.0,34902.0
6718-BDGHG,,,,,,,,,3.0,1.0,United States,California,San Diego,92122.0,"32.85723, -117.209756",32.85723,-117.209774,1.0,Q3,No,0.0,4.0,Offer E,Yes,31.61,Yes,Yes,,2.0,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.45,396.1,0.0,0.0,126.44,522.54,373.0,34902.0
1073-XXCZD,,,,,,,,,,1.0,United States,California,San Diego,92122.0,"32.85723, -117.209768",32.85723,-117.209774,1.0,Q3,,0.0,2.0,Offer E,Yes,,No,,Fiber Optic,8.0,No,No,,,Yes,Yes,Yes,Yes,Month-to-Month,Yes,,90.4,168.2,0.0,0.0,21.06,189.26,373.0,34902.0
9609-BENEA,1.0,Female,80.0,No,Yes,No,No,0.0,2.0,1.0,United States,California,Thermal,92274.0,"33.53604, -116.119222",33.53604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421.0,17018.0
4366-CTOUZ,1.0,Female,,No,No,Yes,Yes,2.0,4.0,1.0,United States,California,Thermal,92274.0,"33.53604, -116.119222",33.53604,,1.0,Q3,Yes,8.0,18.0,None,Yes,14.6,No,No,None,,No,No,No,No,,No,No,,Month-to-Month,No,,20.45,357.0,0.0,0.0,262.8,619.8,421.0,17018.0
2138-VFAPZ,1.0,Male,64.0,No,No,No,No,0.0,4.0,1.0,United States,California,Thermal,92274.0,"33.53604, -116.119222",33.53604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421.0,17018.0
0479-HMSWA,1.0,Female,77.0,No,Yes,No,No,0.0,1.0,1.0,United States,California,Hemet,92544.0,"33.644585, -116.871544",33.644585,,1.0,Q3,No,0.0,20.0,None,Yes,48.73,,Yes,,12.0,No,Yes,Yes,No,No,Yes,No,,,,Bank Withdrawal,94.1,1782.4,0.0,,974.6,2837.0,510.0,39264.0
7450-NWRTR,1.0,Female,45.0,No,No,No,No,,3.0,1.0,United States,California,Hemet,92544.0,"33.644585, -116.871544",33.644585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510.0,39264.0
0749-IRGQE,1.0,Female,31.0,No,No,No,No,0.0,2.0,1.0,,California,,92557.0,"33.970661, -117.255039",33.970661,-117.255039,1.0,Q3,,0.0,7.0,,,28.92,No,,Fiber Optic,16.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.7,,0.0,0.0,202.44,788.49,517.0,46214.0
9170-CCKOU,1.0,Male,52.0,No,No,Yes,Yes,2.0,3.0,1.0,,California,Moreno Valley,92557.0,"33.970661, -117.255039",33.970661,-117.255039,1.0,Q3,Yes,10.0,70.0,None,Yes,49.67,No,Yes,,19.0,,Yes,,Yes,Yes,No,,Yes,Two Year,Yes,Credit Card,101.1,,0.0,0.0,3476.9,10471.7,517.0,46214.0
7750-EYXWZ,1.0,Female,80.0,No,Yes,Yes,No,0.0,1.0,,,California,,92571.0,"33.828289, -117.201666",,-117.201666,1.0,Q3,Yes,2.0,,,Yes,,No,Yes,Cable,25.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,,1929.35,0.0,,189.54,2118.89,523.0,26357.0
9818-XQCUV,1.0,Female,30.0,No,No,No,No,0.0,4.0,1.0,United States,California,Perris,92571.0,"33.828289, -117.201666",33.828289,-117.201666,1.0,,,0.0,,None,Yes,7.41,No,Yes,DSL,51.0,Yes,No,Yes,Yes,No,No,No,Yes,One Year,Yes,Bank Withdrawal,60.25,1258.35,0.0,0.0,155.61,1413.96,523.0,26357.0
0899-LIIBW,1.0,Female,39.0,No,No,Yes,Yes,2.0,3.0,1.0,United States,California,Perris,92571.0,"33.828289, -117.201666",33.828289,-117.201666,1.0,Q3,Yes,7.0,6.0,None,Yes,41.29,,Yes,Fiber Optic,19.0,No,Yes,Yes,No,,,No,Yes,Month-to-Month,Yes,Credit Card,94.05,518.75,0.0,0.0,247.74,766.49,523.0,26357.0
7609-YBPXG,,Male,79.0,No,Yes,,No,0.0,1.0,,,California,Santa Barbara,93101.0,"34.419203, -119.710008",34.419203,-119.710008,1.0,Q3,Yes,,66.0,Offer A,Yes,28.86,,Yes,Fiber Optic,25.0,No,No,,,Yes,Yes,,Yes,Month-to-Month,Yes,Credit Card,,6822.15,0.0,0.0,1904.76,8726.91,635.0,31727.0
1047-RNXZV,1.0,Female,42.0,No,No,Yes,No,0.0,2.0,1.0,United States,California,Alpaugh,93201.0,"35.869626, -119.498771",,-119.498771,1.0,Q3,,1.0,13.0,None,No,0.0,No,Yes,DSL,8.0,No,,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,48.75,633.4,0.0,,0.0,633.4,643.0,1054.0
5614-DNZCE,1.0,,75.0,No,Yes,Yes,No,,1.0,1.0,United States,California,Camp Nelson,93208.0,"36.057458, -118.591951",36.057458,-118.591951,1.0,Q3,Yes,7.0,20.0,None,Yes,,Yes,Yes,Fiber Optic,10.0,No,No,No,,Yes,Yes,,Yes,Month-to-Month,Yes,Bank Withdrawal,94.55,1899.65,0.0,0.0,,2005.85,650.0,191.0
7661-CPURM,,,,,,,,,3.0,,United States,California,Camp Nelson,93208.0,"36.057458, -118.591951",36.057458,-118.591951,1.0,Q3,Yes,6.0,35.0,None,No,0.0,No,Yes,DSL,,,No,,Yes,Yes,No,No,Yes,One Year,No,Credit Card,40.9,1383.6,0.0,0.0,0.0,,650.0,191.0
3594-KADLU,1.0,Female,53.0,No,No,No,No,0.0,5.0,1.0,United States,California,Fellows,93224.0,"35.215731, -119.57013",35.215731,-119.57013,,Q3,No,0.0,3.0,Offer E,Yes,34.76,No,Yes,Fiber Optic,21.0,No,No,,,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.85,199.85,0.0,0.0,104.28,304.13,660.0,626.0
2550-AEVRU,1.0,Male,76.0,No,Yes,No,No,0.0,,1.0,United States,,Temecula,92592.0,"33.507255, -117.029473",33.507255,-117.029473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,532.0,46171.0
1478-VPOAD,1.0,Female,65.0,No,Yes,Yes,No,0.0,3.0,,United States,,Temecula,92592.0,"33.507255, -117.029473",33.507255,-117.029473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,532.0,46171.0
2676-ISHSF,1.0,Female,23.0,Yes,No,No,No,0.0,,1.0,United States,,Temecula,92592.0,"33.507255, -117.029473",33.507255,-117.029473,1.0,,No,0.0,1.0,Offer E,,32.86,Yes,Yes,Fiber Optic,58.0,,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,75.05,75.05,0.0,0.0,32.86,107.91,532.0,46171.0
7359-SSBJK,1.0,Female,62.0,No,No,No,No,0.0,2.0,1.0,United States,California,Temecula,92592.0,"33.507255, -117.029473",33.507255,-117.029473,1.0,Q3,No,,5.0,Offer E,Yes,32.12,No,Yes,Fiber Optic,10.0,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,96.25,512.45,0.0,0.0,160.6,673.0500000000001,532.0,46171.0
4195-SMMNX,1.0,Female,47.0,No,No,No,No,,2.0,,,California,Temecula,92592.0,"33.507255, -117.029473",33.507255,-117.029473,1.0,Q3,No,0.0,4.0,Offer E,Yes,7.39,Yes,,Fiber Optic,,No,Yes,No,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,93.5,362.2,0.0,0.0,29.56,,532.0,46171.0
5197-PYEPU,,Female,64.0,No,No,Yes,No,0.0,2.0,1.0,United States,California,Temecula,92592.0,"33.507255, -117.029473",33.507255,,1.0,,Yes,,40.0,Offer B,Yes,2.03,Yes,,Fiber Optic,19.0,No,No,,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.85,3303.05,0.0,0.0,81.19999999999999,3384.25,532.0,46171.0
8659-IOOPU,1.0,Male,49.0,No,No,Yes,No,0.0,1.0,1.0,,California,Temecula,92592.0,"33.507255, -117.029473",33.507255,-117.029473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,532.0,46171.0
0420-TXVSG,1.0,Female,25.0,Yes,No,No,No,0.0,1.0,,United States,California,,92592.0,"33.507255, -117.029473",,-117.029473,1.0,Q3,No,0.0,1.0,None,Yes,14.19,,Yes,Fiber Optic,,No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,69.6,69.6,0.0,0.0,14.19,83.78999999999999,532.0,46171.0
3500-NSDOA,1.0,Female,38.0,No,No,Yes,No,0.0,2.0,1.0,United States,California,Temecula,92592.0,"33.507255, -117.029473",33.507255,-117.029473,1.0,Q3,Yes,,,None,Yes,19.41,Yes,Yes,Fiber Optic,4.0,No,No,Yes,No,,No,No,,Month-to-Month,Yes,Bank Withdrawal,77.75,,,0.0,1067.55,5525.7,532.0,46171.0
9102-OXKFY,1.0,Female,28.0,Yes,No,No,No,0.0,1.0,1.0,United States,California,,92592.0,"33.507255, -117.029473",33.507255,-117.029473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,532.0,46171.0
4349-GFQHK,1.0,Male,32.0,No,No,Yes,,0.0,3.0,1.0,United States,California,Temecula,92592.0,"33.507255, -117.029473",33.507255,-117.029473,1.0,,Yes,2.0,72.0,Offer A,Yes,11.57,Yes,Yes,Fiber Optic,18.0,No,Yes,No,No,Yes,No,No,,,Yes,,89.7,6588.95,0.0,0.0,833.04,7421.99,532.0,46171.0
1989-PRJHP,1.0,Male,44.0,No,No,Yes,No,0.0,3.0,,United States,,Temecula,92592.0,"33.507255, -117.029473",,-117.029473,,Q3,Yes,6.0,46.0,None,Yes,4.72,No,No,None,0.0,No,No,No,No,No,No,No,No,One Year,,Bank Withdrawal,20.2,845.6,,0.0,217.12,1062.72,532.0,46171.0
7951-QKZPL,1.0,,48.0,No,,,No,0.0,,1.0,United States,California,Temecula,92592.0,"33.507255, -117.029473",33.507255,-117.029473,1.0,Q3,Yes,5.0,17.0,Offer D,No,0.0,No,Yes,DSL,23.0,No,Yes,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,35.65,646.05,0.0,0.0,0.0,646.05,532.0,46171.0
4531-AUZNK,1.0,Female,41.0,No,No,,No,0.0,4.0,1.0,United States,California,Temecula,92592.0,,33.507255,-117.029473,1.0,Q3,Yes,,70.0,None,,,Yes,Yes,Fiber Optic,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,,Bank Withdrawal,110.5,7752.05,0.0,,,9749.85,532.0,46171.0
9361-YNQWJ,1.0,,31.0,No,No,No,No,0.0,3.0,1.0,,California,Temecula,92592.0,"33.507255, -117.029473",33.507255,-117.029473,1.0,Q3,No,0.0,67.0,None,Yes,4.72,No,No,None,0.0,No,No,,No,No,No,No,No,Two Year,Yes,Credit Card,19.8,1311.3,0.0,0.0,316.24,1627.54,532.0,46171.0
4986-MXSFP,,,,,,,,,4.0,1.0,United States,California,Temecula,92592.0,"33.507255, -117.029473",33.507255,-117.029473,1.0,Q3,Yes,10.0,,None,Yes,,No,Yes,Fiber Optic,21.0,Yes,Yes,Yes,No,No,No,,Yes,One Year,Yes,Credit Card,82.95,,0.0,0.0,248.39,5151.54,532.0,46171.0
3422-WJOYD,,,,,,,,,1.0,,United States,California,Temecula,92592.0,"33.507255, -117.029473",33.507255,-117.029473,1.0,Q3,No,0.0,,None,Yes,31.34,No,Yes,Fiber Optic,52.0,No,No,,No,Yes,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,79.05,79.05,0.0,,31.34,110.39,532.0,46171.0
8791-GFXLZ,,,,,,,,,4.0,1.0,United States,California,Temecula,92592.0,"33.507255, -117.029473",33.507255,-117.029473,,Q3,Yes,,58.0,Offer B,Yes,43.75,,Yes,Fiber Optic,69.0,No,Yes,No,Yes,Yes,No,No,Yes,One Year,Yes,Credit Card,94.7,5430.35,0.0,0.0,2537.5,7967.85,532.0,46171.0
0383-CLDDA,,,,,,,,,4.0,1.0,United States,California,Temecula,92592.0,"33.507255, -117.029473",,-117.029473,1.0,Q3,Yes,2.0,72.0,Offer A,Yes,11.85,Yes,Yes,Fiber Optic,82.0,No,Yes,Yes,Yes,Yes,Yes,Yes,,One Year,No,,109.15,7789.6,0.0,0.0,853.1999999999999,8642.800000000001,532.0,46171.0
6024-RUGGH,,,,,,,,,4.0,1.0,United States,California,Temecula,92592.0,"33.507255, -117.029473",33.507255,-117.029473,1.0,Q3,No,0.0,3.0,None,Yes,5.39,No,Yes,Fiber Optic,10.0,,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Credit Card,90.7,237.65,0.0,0.0,16.169999999999998,253.82,532.0,46171.0
3733-UOCWF,,,,,,,,,,1.0,United States,California,Temecula,92592.0,"33.507255, -117.029473",33.507255,-117.029473,1.0,Q3,Yes,2.0,71.0,None,Yes,16.84,No,,None,0.0,No,No,No,No,No,No,,No,Two Year,No,Bank Withdrawal,19.85,1326.35,0.0,0.0,1195.64,2521.99,532.0,46171.0
7207-RMRDB,1.0,Male,72.0,No,Yes,Yes,No,0.0,3.0,1.0,United States,,San Diego,92129.0,,,-117.134917,1.0,Q3,Yes,1.0,33.0,None,,27.78,Yes,Yes,,8.0,No,No,No,No,,,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.5,,0.0,0.0,,4022.29,379.0,47224.0
2424-WVHPL,1.0,Male,,No,,No,,,3.0,1.0,United States,California,,92129.0,"32.961064, -117.134917",32.961064,,1.0,Q3,No,0.0,20.0,None,Yes,44.44,Yes,,Fiber Optic,13.0,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,98.55,1842.8,0.0,120.0,,2851.6,379.0,47224.0
7833-PKIHD,1.0,Female,29.0,Yes,No,No,No,0.0,1.0,1.0,,California,,92129.0,"32.961064, -117.134917",32.961064,-117.134917,,Q3,No,0.0,45.0,None,Yes,4.48,Yes,Yes,Cable,51.0,No,No,Yes,Yes,No,,No,Yes,Month-to-Month,Yes,Bank Withdrawal,87.25,3941.7,,0.0,201.6,,379.0,47224.0
5915-ANOEI,1.0,,51.0,No,,No,No,0.0,1.0,1.0,United States,California,San Diego,92129.0,"32.961064, -117.134917",32.961064,-117.134917,1.0,Q3,No,0.0,10.0,,Yes,27.57,Yes,Yes,,,Yes,No,No,No,,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,98.55,1008.55,0.0,0.0,275.7,1284.25,379.0,47224.0
6064-PUPMC,1.0,Male,31.0,No,,Yes,,0.0,1.0,1.0,,California,San Diego,92129.0,"32.961064, -117.134917",32.961064,-117.134917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.0,47224.0
8735-IJJEG,,,23.0,Yes,No,Yes,,2.0,4.0,,United States,California,San Diego,92129.0,"32.961064, -117.134917",32.961064,-117.134917,1.0,Q3,Yes,7.0,37.0,Offer C,No,,No,Yes,Cable,52.0,Yes,No,Yes,Yes,No,,No,Yes,One Year,Yes,Bank Withdrawal,40.2,1525.35,0.0,0.0,,1525.35,379.0,47224.0
4342-HFXWS,1.0,Female,65.0,,Yes,No,No,0.0,1.0,1.0,,,Biola,93606.0,"36.798882, -120.019511",36.798882,-120.019511,1.0,Q3,No,,,None,Yes,2.37,Yes,Yes,,20.0,Yes,Yes,,No,Yes,Yes,,Yes,One Year,Yes,Bank Withdrawal,110.0,4874.8,0.0,0.0,109.02,4983.820000000001,794.0,807.0
9402-ORRAH,,Male,,No,No,No,No,0.0,1.0,1.0,United States,California,Biola,93606.0,"36.798882, -120.019511",36.798882,-120.019511,1.0,Q3,No,0.0,19.0,Offer D,Yes,,Yes,Yes,Fiber Optic,18.0,No,Yes,No,No,Yes,Yes,,Yes,Month-to-Month,Yes,,99.95,1931.75,0.0,0.0,41.61,1973.36,794.0,807.0
4654-ULTTN,,Female,38.0,No,,No,No,,3.0,1.0,,California,Biola,93606.0,,,-120.019511,1.0,Q3,No,0.0,7.0,None,Yes,15.84,No,Yes,,14.0,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,61.4,438.9,,0.0,110.88,549.78,794.0,807.0
1866-NXPSP,1.0,Male,74.0,No,Yes,Yes,No,0.0,,1.0,United States,California,Selma,93662.0,"36.545322, -119.642281",36.545322,-119.642281,1.0,Q3,,1.0,7.0,None,Yes,21.91,Yes,Yes,Cable,11.0,No,,No,,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.6,644.35,,,153.37,797.72,835.0,26213.0
7394-FKDNK,1.0,Female,70.0,No,Yes,No,No,0.0,3.0,1.0,United States,California,,93662.0,"36.545322, -119.642281",36.545322,-119.642281,1.0,Q3,No,0.0,,None,Yes,31.13,No,Yes,,5.0,No,No,No,No,No,No,No,,Month-to-Month,Yes,Bank Withdrawal,69.65,69.65,0.0,,31.13,100.78,835.0,26213.0
3572-UOLYZ,1.0,Female,33.0,No,,No,No,0.0,,1.0,United States,,Selma,93662.0,"36.545322, -119.642281",,-119.642281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,835.0,26213.0
2135-DQWAQ,1.0,Female,65.0,No,Yes,No,No,,3.0,1.0,United States,California,Squaw Valley,93675.0,"36.719141, -119.202677",36.719141,-119.202677,1.0,Q3,No,0.0,4.0,None,Yes,36.93,No,Yes,Fiber Optic,,No,,No,No,Yes,No,No,Yes,Month-to-Month,Yes,,78.85,292.8,0.0,0.0,147.72,440.52,843.0,3146.0
8402-OOOHJ,1.0,Female,48.0,No,No,No,No,0.0,2.0,1.0,United States,California,,93675.0,"36.719141, -119.202677",36.719141,-119.202677,1.0,Q3,No,0.0,1.0,Offer E,Yes,22.97,No,Yes,Fiber Optic,,No,No,Yes,No,Yes,No,No,Yes,,Yes,,,85.45,0.0,,22.97,108.42,843.0,3146.0
4854-SSLTN,1.0,,27.0,Yes,No,Yes,Yes,3.0,3.0,1.0,United States,California,Squaw Valley,93675.0,"36.719141, -119.202677",36.719141,-119.202677,1.0,Q3,No,0.0,40.0,None,No,0.0,No,Yes,DSL,52.0,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,,2036.55,0.0,,0.0,2036.55,843.0,3146.0
1498-NHTLT,1.0,Female,37.0,No,No,Yes,Yes,,3.0,1.0,United States,California,Fresno,93706.0,"36.654614, -119.903674",36.654614,,1.0,Q3,Yes,1.0,47.0,,No,0.0,,Yes,DSL,,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,,Yes,Credit Card,60.0,2768.65,0.0,0.0,0.0,2768.65,849.0,35790.0
5003-XZWWO,1.0,Male,35.0,No,No,No,No,0.0,5.0,1.0,United States,California,San Francisco,94102.0,"37.7795, -122.419233",37.7795,-122.419233,1.0,Q3,No,,3.0,None,Yes,,No,Yes,Cable,17.0,No,No,No,No,No,No,No,,Month-to-Month,No,Credit Card,,,0.0,0.0,,,914.0,28998.0
9574-RKJIF,1.0,Male,58.0,No,No,Yes,Yes,3.0,4.0,1.0,United States,California,San Francisco,94102.0,"37.7795, -122.419233",37.7795,,1.0,Q3,,4.0,44.0,None,Yes,46.54,No,Yes,,52.0,No,Yes,No,Yes,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,54.9,2549.1,0.0,,2047.76,4726.86,914.0,28998.0
7108-DGVUU,1.0,Male,33.0,No,No,No,No,0.0,4.0,,United States,California,San Francisco,94102.0,"37.7795, -122.419233",,-122.419233,1.0,Q3,No,0.0,35.0,Offer C,Yes,4.24,,No,None,0.0,No,No,,No,No,No,No,No,Two Year,No,Credit Card,19.25,677.9,0.0,0.0,148.4,826.3,914.0,28998.0
5590-ZSKRV,1.0,Male,52.0,No,No,No,No,0.0,1.0,1.0,United States,California,,94304.0,,37.386978,-122.177746,1.0,Q3,No,0.0,5.0,,,14.26,No,,DSL,26.0,No,No,Yes,No,Yes,Yes,Yes,Yes,,Yes,Bank Withdrawal,70.05,346.4,0.0,0.0,71.3,417.7,942.0,1723.0
5020-ZSTTY,1.0,Female,49.0,No,No,No,No,0.0,,1.0,,California,Palo Alto,94304.0,"37.386978, -122.177746",37.386978,-122.177746,1.0,Q3,No,0.0,37.0,None,Yes,41.99,,No,,0.0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,19.8,813.3,0.0,0.0,1553.63,2366.9300000000003,942.0,1723.0
8883-ANODQ,1.0,Male,71.0,No,Yes,No,No,0.0,,1.0,,,Birds Landing,94512.0,"38.140719, -121.838298",38.140719,-121.838298,1.0,,No,0.0,35.0,None,Yes,20.83,Yes,Yes,Fiber Optic,19.0,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,,99.05,3395.8,0.0,,,,957.0,138.0
5353-WILCI,,Female,53.0,No,,No,No,0.0,4.0,1.0,United States,,Birds Landing,94512.0,"38.140719, -121.838298",38.140719,-121.838298,1.0,Q3,No,0.0,1.0,None,Yes,1.15,No,Yes,Fiber Optic,23.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,70.1,70.1,0.0,0.0,1.15,71.25,957.0,138.0
1768-HNVGJ,1.0,,25.0,,No,No,No,,5.0,1.0,United States,California,Birds Landing,94512.0,"38.140719, -121.838298",38.140719,-121.838298,1.0,Q3,No,,,Offer A,Yes,8.39,Yes,Yes,Fiber Optic,59.0,No,Yes,,No,,Yes,Yes,Yes,One Year,No,Bank Withdrawal,,6838.6,0.0,0.0,587.3000000000001,7425.900000000001,957.0,138.0
1023-BQXZE,1.0,Male,80.0,No,Yes,No,No,0.0,2.0,1.0,,California,Byron,94514.0,"37.83323, -121.601461",37.83323,-121.601461,1.0,Q3,No,0.0,2.0,Offer E,Yes,26.62,No,Yes,DSL,11.0,No,No,No,No,,,No,Yes,,No,Credit Card,44.95,85.15,0.0,0.0,53.24,138.39,959.0,10153.0
7596-IIWYC,,Male,73.0,No,Yes,Yes,No,0.0,1.0,1.0,United States,California,,94550.0,"37.571748, -121.659562",37.571748,-121.659562,,Q3,Yes,2.0,44.0,None,,,,,Cable,28.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,30.35,1359.7,0.0,0.0,0.0,1359.7,982.0,75929.0
7328-OWMOM,,Male,32.0,,No,No,,0.0,5.0,1.0,United States,California,Livermore,94550.0,"37.571748, -121.659562",,-121.659562,,Q3,No,0.0,,Offer B,Yes,37.15,Yes,Yes,Fiber Optic,13.0,,,,No,No,No,No,Yes,,,,86.4,4922.4,0.0,0.0,2080.4,7002.799999999999,982.0,75929.0
0471-LVHGK,1.0,Female,40.0,No,No,,No,0.0,3.0,1.0,United States,California,Livermore,94550.0,"37.571748, -121.659562",37.571748,-121.659562,1.0,Q3,No,0.0,6.0,None,Yes,43.19,No,,None,0.0,No,No,No,No,No,No,,No,Month-to-Month,Yes,Credit Card,20.95,109.5,,0.0,,368.64,982.0,75929.0
5914-XRFQB,1.0,Female,73.0,,Yes,,No,0.0,2.0,1.0,United States,California,Napa,94558.0,"38.489789, -122.27011",,-122.27011,1.0,Q3,Yes,1.0,,Offer C,,9.28,Yes,Yes,,26.0,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,93.85,2381.55,0.0,0.0,241.28,,987.0,63947.0
5226-NOZFC,1.0,,52.0,No,No,Yes,No,0.0,4.0,1.0,United States,California,Napa,94558.0,"38.489789, -122.27011",38.489789,-122.27011,1.0,Q3,Yes,8.0,63.0,Offer B,Yes,12.96,Yes,Yes,Fiber Optic,7.0,Yes,No,No,Yes,,No,No,No,Two Year,Yes,,,5377.8,0.0,20.0,816.48,6214.280000000001,987.0,63947.0
2237-ZFSMY,1.0,,20.0,Yes,No,Yes,Yes,1.0,,1.0,United States,,Napa,94558.0,"38.489789, -122.27011",38.489789,-122.27011,1.0,Q3,Yes,1.0,52.0,Offer B,Yes,44.79,,Yes,Fiber Optic,52.0,No,No,Yes,No,Yes,Yes,Yes,,One Year,,Bank Withdrawal,101.25,5301.1,0.0,,2329.08,7630.18,987.0,63947.0
4078-SAYYN,1.0,,65.0,No,Yes,,No,0.0,2.0,1.0,United States,California,San Ramon,94583.0,,37.766556,-121.976784,1.0,Q3,No,,4.0,,Yes,49.5,Yes,,Fiber Optic,23.0,No,,No,,,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,,424.45,0.0,,198.0,622.45,1006.0,44078.0
2884-GBPFB,,Male,75.0,No,Yes,,No,,1.0,1.0,United States,California,Pleasanton,94588.0,"37.685052, -121.912061",37.685052,-121.912061,1.0,Q3,Yes,1.0,27.0,None,Yes,10.6,Yes,Yes,Fiber Optic,23.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.5,1893.95,0.0,0.0,286.2,2180.15,1010.0,28568.0
6778-YSNIH,1.0,Female,,No,No,Yes,Yes,3.0,3.0,1.0,United States,California,Pleasanton,94588.0,"37.685052, -121.912061",37.685052,-121.912061,1.0,,Yes,9.0,70.0,Offer A,Yes,39.53,No,Yes,,53.0,Yes,No,No,Yes,Yes,,Yes,,Two Year,No,Credit Card,75.35,5437.75,0.0,0.0,2767.1,8204.85,1010.0,28568.0
9298-WGMRW,,Female,44.0,No,No,Yes,No,0.0,3.0,1.0,United States,California,Pleasanton,94588.0,"37.685052, -121.912061",37.685052,,,Q3,Yes,6.0,29.0,Offer C,Yes,49.96,No,No,None,0.0,No,No,No,No,No,,No,,Two Year,Yes,,19.55,521.8,0.0,,,1970.64,1010.0,28568.0
7196-LIWRH,1.0,Male,59.0,,No,No,,0.0,1.0,1.0,United States,,,94704.0,"37.871416, -122.246597",37.871416,,1.0,Q3,No,0.0,19.0,Offer D,Yes,20.26,No,Yes,Fiber Optic,,No,Yes,Yes,No,No,No,No,Yes,Month-to-Month,Yes,,78.25,1490.95,0.0,0.0,384.94000000000005,1875.89,1035.0,21205.0
4355-CVPVS,1.0,Female,68.0,No,Yes,Yes,,0.0,1.0,1.0,,California,Berkeley,94707.0,"37.897753, -122.279391",37.897753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1038.0,11889.0
1545-ACTAS,,Female,25.0,Yes,No,Yes,No,0.0,4.0,1.0,United States,California,Berkeley,94707.0,"37.897753, -122.279391",,-122.279391,1.0,Q3,Yes,,57.0,None,,6.63,Yes,Yes,Cable,27.0,No,Yes,,Yes,Yes,No,No,Yes,One Year,,Bank Withdrawal,74.6,4368.95,0.0,0.0,377.91,4746.86,1038.0,11889.0
